27,7,2016,1,04:50:00,06:55:00,02:05:00,Setu Bandhasana,-1,1,Mysore,Saraswathi Jois,1
28,7,2016,1,04:50:00,06:45:00,01:55:00,Setu Bandhasana,-1,1,Mysore,Saraswathi Jois,1
29,7,2016,1,04:50:00,06:50:00,02:00:00,Setu Bandhasana,-1,1,Mysore,Saraswathi Jois,1
30,7,2016,0,,,0,,,,,,
31,7,2016,1,05:35:00,07:00:00,01:25:00,Setu Bandhasana,-1,0,Led,Saraswathi Jois,
1,8,2016,0,,,0,,,,,,
2,8,2016,0,,,0,,,,,,
3,8,2016,1,04:55:00,06:40:00,01:45:00,Setu Bandhasana,0,0,Mysore,Saraswathi Jois,0
4,8,2016,0,,,0,,,,,,
5,8,2016,1,04:50:00,06:45:00,01:55:00,Setu Bandhasana,0,1,Mysore,Saraswathi Jois,1
6,8,2016,0,,,0,,,,,,
7,8,2016,0,,,0,,,,,,
8,8,2016,0,,,0,,,,,,
9,8,2016,0,,,0,,,,,,
10,8,2016,1,17:15:00,18:45:00,01:30:00,Setu Bandhasana,1,1,Mysore,Peter Sanson,1
11,8,2016,1,08:40:00,09:00:00,00:20:00,Surya Namaskara B,0,0,Self Practice,None,-1
12,8,2016,0,,,0,,,,,,
13,8,2016,0,,,0,,,,,,
14,8,2016,0,,,0,,,,,,
15,8,2016,1,06:10:00,07:20:00,01:10:00,Navasana,0,0,Self Practice,None,1
16,8,2016,0,,,0,,,,,,
17,8,2016,0,,,0,,,,,,
18,8,2016,0,,,0,,,,,,
19,8,2016,0,,,0,,,,,,
20,8,2016,0,,,0,,,,,,
21,8,2016,0,,,0,,,,,,
22,8,2016,0,,,0,,,,,,
23,8,2016,0,,,0,,,,,,
24,8,2016,0,,,0,,,,,,
25,8,2016,0,,,0,,,,,,
26,8,2016,0,,,0,,,,,,
27,8,2016,0,,,0,,,,,,
28,8,2016,0,,,0,,,,,,
29,8,2016,0,,,0,,,,,,
30,8,2016,0,,,0,,,,,,
31,8,2016,0,,,0,,,,,,
1,9,2016,0,,,0,,,,,,
2,9,2016,0,,,0,,,,,,
3,9,2016,0,,,0,,,,,,
4,9,2016,0,,,0,,,,,,
5,9,2016,0,,,0,,,,,,
6,9,2016,1,09:25:00,10:10:00,00:45:00,Parshvottanasana,0,0,Self Practice,None,-1
7,9,2016,,,,0,,,,,,
8,9,2016,,,,0,,,,,,
9,9,2016,,,,0,,,,,,
10,9,2016,,,,0,,,,,,
11,9,2016,,,,0,,,,,,
12,9,2016,,,,0,,,,,,
13,9,2016,,,,0,,,,,,
14,9,2016,,,,0,,,,,,
15,9,2016,,,,0,,,,,,
16,9,2016,,,,0,,,,,,
17,9,2016,,,,0,,,,,,
18,9,2016,,,,0,,,,,,
19,9,2016,,,,0,,,,,,
20,9,2016,,,,0,,,,,,
21,9,2016,,,,0,,,,,,
22,9,2016,,,,0,,,,,,
23,9,2016,,,,0,,,,,,
24,9,2016,,,,0,,,,,,
25,9,2016,,,,0,,,,,,
26,9,2016,,,,0,,,,,,
,9,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,0,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
,,2016,,,,,,,,,,
